,champion,sum_total,win_total,lose_total,winrate_total,sum_blue_side,win_blue_side,lose_blue_side,winrate_blue_side,sum_red_side,win_red_side,lose_red_side,winrate_red_side,matches_less_25_min,win_lose_less_25_min,winrate_less_25_min,matches_25_to_30_min,win_lose_25_to_30_min,winrate_25_30_min,matches_30_35_min,win_lose_30_35_min,winrate_30_35_min,matches_35_40_min,win_lose_35_40_min,winrate_35_40_min,matches_40_45_min,win_lose_40_45_min,winrate_40_45_min,matches_more_45_min,win_lose_more_45_min,winrate_more_45_min
88,Braum,1,0,1,0%,1,0,1,0%,0,0,0,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%,1,0-1,0%,0,0-0,0%,0,0-0,0%
89,Lux,1,0,1,0%,1,0,1,0%,0,0,0,0%,0,0-0,0%,0,0-0,0%,1,0-1,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%
90,Nidalee,1,0,1,0%,1,0,1,0%,0,0,0,0%,1,0-1,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%
91,Rengar,1,0,1,0%,0,0,0,0%,1,0,1,0%,0,0-0,0%,1,0-1,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%
92,Sona,1,0,1,0%,1,0,1,0%,0,0,0,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%,1,0-1,0%,0,0-0,0%
93,Vi,1,0,1,0%,0,0,0,0%,1,0,1,0%,0,0-0,0%,0,0-0,0%,1,0-1,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%
94,Viktor,1,0,1,0%,1,0,1,0%,0,0,0,0%,0,0-0,0%,0,0-0,0%,1,0-1,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%
95,Volibear,1,0,1,0%,1,0,1,0%,0,0,0,0%,0,0-0,0%,1,0-1,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%
96,Xin Zhao,1,0,1,0%,0,0,0,0%,1,0,1,0%,0,0-0,0%,0,0-0,0%,1,0-1,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%
97,Ziggs,1,0,1,0%,0,0,0,0%,1,0,1,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%,1,0-1,0%
98,Zilean,1,0,1,0%,0,0,0,0%,1,0,1,0%,0,0-0,0%,1,0-1,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%
